role_family,role_postings,skill,postings_with_skill,pct_of_role
Software Engineer,38762,java,12200,31.47
Software Engineer,38762,python,12095,31.2
Software Engineer,38762,ai,10304,26.58
Software Engineer,38762,aws,8281,21.36
Software Engineer,38762,react,6977,18.0
Software Engineer,38762,javascript,6930,17.88
Software Engineer,38762,docker,6643,17.14
Software Engineer,38762,kubernetes,6575,16.96
Software Engineer,38762,software,6368,16.43
Software Engineer,38762,git,6186,15.96
Software Engineer,38762,sql,6054,15.62
Software Engineer,38762,communication,6019,15.53
Software Engineer,38762,software development,5841,15.07
Software Engineer,38762,typescript,5683,14.66
Software Engineer,38762,ci/cd pipelines,4958,12.79
Software Engineer,38762,microservices,4856,12.53
Software Engineer,38762,azure,4826,12.45
Software Engineer,38762,ci/cd,4682,12.08
Software Engineer,38762,angular,4012,10.35
Software Engineer,38762,collaboration,3841,9.91
Software Engineer,38762,security,3820,9.86
Software Engineer,38762,spring boot,3773,9.73
Software Engineer,38762,development,3574,9.22
Software Engineer,38762,design,3521,9.08
Software Engineer,38762,testing,3477,8.97
Software Engineer,38762,postgresql,3421,8.83
Software Engineer,38762,software engineering,3353,8.65
Software Engineer,38762,gcp,3221,8.31
Software Engineer,38762,automation,3212,8.29
Software Engineer,38762,data,3114,8.03
Security,11981,security,8616,71.91
Security,11981,cybersecurity,4541,37.9
Security,11981,siem,2908,24.27
Security,11981,incident response,2792,23.3
Security,11981,compliance,2541,21.21
Security,11981,cyber security,2439,20.36
Security,11981,communication,2023,16.89
Security,11981,information security,1908,15.93
Security,11981,ai,1889,15.77
Security,11981,python,1868,15.59
Security,11981,aws,1725,14.4
Security,11981,cloud security,1696,14.16
Security,11981,azure,1469,12.26
Security,11981,network security,1455,12.14
Security,11981,vulnerability management,1450,12.1
Security,11981,firewalls,1405,11.73
Security,11981,analytical,1365,11.39
Security,11981,iso 27001,1326,11.07
Security,11981,leadership,1293,10.79
Security,11981,threats,1289,10.76
Security,11981,security operations,1208,10.08
Security,11981,edr,1153,9.62
Security,11981,risk management,1115,9.31
Security,11981,data,1066,8.9
Security,11981,splunk,1041,8.69
Security,11981,cissp,1033,8.62
Security,11981,monitoring,1008,8.41
Security,11981,automation,1004,8.38
Security,11981,nist,995,8.3
Security,11981,incidents,994,8.3
Data Scientist / ML,11871,python,8290,69.83
Data Scientist / ML,11871,ai,7565,63.73
Data Scientist / ML,11871,machine learning,5755,48.48
Data Scientist / ML,11871,pytorch,3598,30.31
Data Scientist / ML,11871,tensorflow,3251,27.39
Data Scientist / ML,11871,data science,3151,26.54
Data Scientist / ML,11871,aws,3084,25.98
Data Scientist / ML,11871,sql,2875,24.22
Data Scientist / ML,11871,deep learning,2379,20.04
Data Scientist / ML,11871,azure,2308,19.44
Data Scientist / ML,11871,ai/ml,2269,19.11
Data Scientist / ML,11871,generative ai,2191,18.46
Data Scientist / ML,11871,llm,2155,18.15
Data Scientist / ML,11871,langchain,2152,18.13
Data Scientist / ML,11871,rag,2137,18.0
Data Scientist / ML,11871,llms,2074,17.47
Data Scientist / ML,11871,data,2010,16.93
Data Scientist / ML,11871,scikit,1904,16.04
Data Scientist / ML,11871,communication,1822,15.35
Data Scientist / ML,11871,gcp,1739,14.65
Data Scientist / ML,11871,prompt engineering,1729,14.56
Data Scientist / ML,11871,docker,1699,14.31
Data Scientist / ML,11871,machine learning models,1508,12.7
Data Scientist / ML,11871,nlp,1469,12.37
Data Scientist / ML,11871,kubernetes,1369,11.53
Data Scientist / ML,11871,ci/cd,1346,11.34
Data Scientist / ML,11871,analytical,1328,11.19
Data Scientist / ML,11871,mlops,1323,11.14
Data Scientist / ML,11871,pandas,1293,10.89
Data Scientist / ML,11871,vector databases,1272,10.72
Full Stack,11752,react,5075,43.18
Full Stack,11752,javascript,4083,34.74
Full Stack,11752,angular,3699,31.48
Full Stack,11752,ai,3605,30.68
Full Stack,11752,java,3540,30.12
Full Stack,11752,python,3508,29.85
Full Stack,11752,aws,3326,28.3
Full Stack,11752,typescript,3318,28.23
Full Stack,11752,node.js,3244,27.6
Full Stack,11752,git,3185,27.1
Full Stack,11752,docker,2873,24.45
Full Stack,11752,postgresql,2666,22.69
Full Stack,11752,azure,2464,20.97
Full Stack,11752,sql,2436,20.73
Full Stack,11752,ci/cd pipelines,2430,20.68
Full Stack,11752,css,2322,19.76
Full Stack,11752,mysql,2104,17.9
Full Stack,11752,html,2060,17.53
Full Stack,11752,communication,2018,17.17
Full Stack,11752,mongodb,2011,17.11
Full Stack,11752,microservices,1975,16.81
Full Stack,11752,restful apis,1964,16.71
Full Stack,11752,kubernetes,1931,16.43
Full Stack,11752,rest apis,1885,16.04
Full Stack,11752,spring boot,1847,15.72
